LEA_Code,LEA_Name,School_Code,School_Name,School_Type,Ward,School_Framework,Framework_Weight,Framework_Points_Earned,Framework_Points_Possible,Framework_STAR_Score,Framework_STAR_Rating,ObjectId
1,District of Columbia Public Schools,273,Mann Elementary School,DCPS,3,Elementary School with Pre-Kindergarten,100,74.05,85,87.12,5,222
1,District of Columbia Public Schools,274,Maury Elementary School @ Eliot-Hine,DCPS,6,Elementary School with Pre-Kindergarten,100,89.66,95,94.38,5,223
1,District of Columbia Public Schools,280,Miner Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,43.04,95,45.31,3,224
1,District of Columbia Public Schools,284,Marie Reed Elementary School,DCPS,1,Elementary School with Pre-Kindergarten,100,83.7,100,83.7,5,225
1,District of Columbia Public Schools,285,Moten Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,12.95,95,13.63,1,226
1,District of Columbia Public Schools,287,Murch Elementary School @ UDC,DCPS,3,Elementary School with Pre-Kindergarten,100,75.12,95,79.07,4,227
1,District of Columbia Public Schools,288,Nalle Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,42.54,95,44.78,3,228
1,District of Columbia Public Schools,290,Noyes Elementary School,DCPS,5,Elementary School with Pre-Kindergarten,100,21.32,85,25.08,2,229
1,District of Columbia Public Schools,291,Lawrence E. Boone Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,29.28,95,30.82,2,230
1,District of Columbia Public Schools,292,Oyster-Adams Bilingual School,DCPS,3,Elementary School with Pre-Kindergarten,51.23,75.37,100,75.37,4,231
1,District of Columbia Public Schools,292,Oyster-Adams Bilingual School,DCPS,3,Middle School,48.77,85.15,100,85.15,5,232
1,District of Columbia Public Schools,294,Patterson Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,16.85,95,17.74,1,233
1,District of Columbia Public Schools,295,Payne Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,38.07,95,40.08,3,234
